"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-4,5
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-6,3
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1,7
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-3
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-5,4
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-6,3
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-17
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-25,2
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-26,9
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-28,1
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-19,2
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-15,9
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-29,5
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-23,9
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-26,5
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-6,6
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1,9
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1,9
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-3,2
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1,1
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1,7
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-14,6
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-26,3
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-40,5
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-36,3
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-34,9
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-47,4
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-47,3
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-36,5
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-21,5
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-13,1
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-17,8
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-29,9
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-14,2
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-14,9
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-18,2
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-30,1
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-30
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-25,8
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-32,3
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-28,8
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-23,1
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-14,2
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-9,2
"447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1,3
"457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-2,2
"467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-1
"477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-2,9
"487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-7,7
"497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-8,1
"507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-7,8
"517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-9,3
"527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-11,6
"537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-9,9
"547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-13,7
"557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-8,3
"567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-4,6
"577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-6,8
"587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-9,2
"597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-6,3
"607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-8,4
