"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.9"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.3"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.4"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.7"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.7"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.9"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.8"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.5"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-36.6"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-22.3"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.6"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.6"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.3"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.3"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.4"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.6"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.5"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.5"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.7"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.2"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.1"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.0"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.2"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.1"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.8"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.1"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.9"
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.0"
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.0"
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.5"
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.3"
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.4"
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.4"
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.9"
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.3"
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.3"
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.3"
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.9"
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.7"
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.3"
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.8"
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.4"
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.3"
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.4"
"447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.7"
"457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.2"
