"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.3"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.4"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.5"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.5"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.7"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.2"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.3"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.3"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.5"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.1"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.2"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.1"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.2"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.4"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.6"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.2"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.0"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.7"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.9"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.9"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.1"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.1"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.3"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.6"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.2"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.5"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.8"
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.0"
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.7"
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.3"
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.1"
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.4"
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.7"
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.3"
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.6"
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-31.9"
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-27.5"
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.4"
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.4"
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.9"
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.5"
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.6"
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.1"
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.1"
"447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.7"
"457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-29.2"
"467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.2"
"477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.6"
"487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.0"
"497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.8"
"507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.0"
"517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.2"
"527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.1"
"537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-22.2"
"547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.8"
"557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.8"
"567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.3"
"577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.2"
"587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.0"
"597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.7"
