"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-3
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-19
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-22,1
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-15,1
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-18,2
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-13,2
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-5,2
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-8,5
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-10,8
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-15,1
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-30,3
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-37,2
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-26,6
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-22,1
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-14,4
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-16,1
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-16,9
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-22,1
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-24,9
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-23,2
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-22,3
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-13,4
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-11,3
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-13,2
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-13,5
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-18,3
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-11,4
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-11,9
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-14,2
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-19,5
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-8,7
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-2,1
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";0,6
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";0,6
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-0,4
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";-0,1
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";3,1
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";1,9
