"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.6"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.5"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.2"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.0"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.6"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.9"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.4"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.1"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.8"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.2"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-29.1"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-30.0"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.6"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.4"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.2"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.1"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.2"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.2"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.6"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.2"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.2"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-27.5"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-37.4"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.2"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-29.6"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.4"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.2"
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.0"
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.9"
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.6"
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.7"
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-30.0"
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.2"
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.7"
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.9"
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.3"
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.8"
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.5"
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.5"
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.3"
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.2"
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.8"
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.5"
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.5"
"447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.6"
"457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.1"
"467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.9"
"477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-22.4"
"487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.2"
"497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.5"
"507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.3"
"517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.6"
"527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.6"
"537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.6"
"547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.8"
"557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.8"
"567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.7"
"577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.2"
"587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.0"
"597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.3"
"607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.3"
"617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.2"
"627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.3"
"637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.6"
"647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.5"
"657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.5"
"667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.0"
"677";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.1"
"687";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.1"
"697";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.3"
"707";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.8"
"717";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.4"
"727";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.9"
"737";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.9"
"747";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.5"
"757";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.3"
"767";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.9"
"777";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.0"
"787";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.8"
"797";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.9"
"807";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.9"
"817";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.5"
"827";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.0"
"837";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.8"
"847";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.2"
"857";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.8"
"867";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.5"
"877";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.6"
"887";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.8"
"897";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.4"
"907";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.0"
"917";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.5"
"927";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.9"
"937";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.1"
"947";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.4"
"957";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.2"
"967";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.3"
"977";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.2"
"987";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.2"
"997";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.5"
"1007";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.2"
"1017";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.4"
"1027";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.5"
"1037";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.1"
"1047";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.6"
"1057";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.2"
"1067";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.0"
"1077";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.9"
"1087";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.7"
"1097";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.6"
"1107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.6"
"1117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.5"
"1137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.5"
"1147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.3"
"1157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.3"
"1167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.8"
"1177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.3"
"1187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.9"
"1197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.9"
"1207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.2"
"1217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.3"
"1227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.6"
"1237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.7"
"1247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.9"
"1267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.9"
"1277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.3"
"1287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.2"
"1297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.8"
"1307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.9"
"1317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.8"
"1327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.2"
"1337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.8"
"1347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.2"
"1357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.4"
"1367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.2"
"1377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.1"
"1387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.6"
"1397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.1"
"1407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.2"
"1417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.8"
"1427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.4"
"1437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.2"
"1447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.3"
"1457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.1"
"1467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"18.3"
"1477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"20.0"
"1487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"18.2"
"1497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.1"
"1507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.0"
"1517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.6"
"1527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.0"
"1537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.6"
"1547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.4"
"1557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.4"
"1567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.6"
"1577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.9"
"1587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.6"
"1597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.2"
"1607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.4"
"1617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.8"
"1627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.2"
"1637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.3"
"1647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.5"
"1657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.4"
"1667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.5"
"1677";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.0"
"1687";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.6"
"1697";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.4"
"1707";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.7"
"1717";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.5"
"1727";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.9"
"1737";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.1"
"1747";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.4"
"1757";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.2"
"1767";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.9"
"1777";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.3"
"1787";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.2"
"1797";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.7"
"1807";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.5"
"1817";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.3"
"1827";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"18.8"
"1837";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.7"
"1847";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.2"
"1857";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.9"
"1867";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.7"
"1877";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.7"
"1887";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.6"
"1897";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.4"
