"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.3"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.3"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-22.4"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.5"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-33.5"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-31.9"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.0"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-31.9"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.4"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.7"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.6"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.5"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.3"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.6"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.3"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.2"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.9"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.8"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.7"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.4"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.3"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.3"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.4"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.6"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.0"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.1"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-27.7"
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.7"
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.9"
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.0"
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.5"
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.7"
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.2"
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.5"
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.3"
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.6"
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.8"
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.4"
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.0"
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.3"
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.7"
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.1"
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.9"
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-27.4"
