"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.9"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.0"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.7"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.2"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.9"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-32.1"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.5"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-27.6"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-32.7"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.2"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.2"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.4"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.0"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.1"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.9"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.1"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.6"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-30.4"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.2"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.3"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.0"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.1"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.5"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.8"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.4"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.6"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.7"
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.4"
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-25.9"
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-30.5"
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.4"
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.2"
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.3"
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-32.4"
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-32.7"
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.3"
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.6"
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.6"
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.8"
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.9"
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.7"
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.3"
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.8"
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.9"
"447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.6"
"457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.4"
"467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.3"
"477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.4"
"487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.7"
"497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.1"
"507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.0"
"517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.4"
"527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.8"
"537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.6"
"547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.6"
"557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.3"
"567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.3"
"577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.5"
"587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.2"
"597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.7"
"607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.1"
"617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.5"
"627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.4"
"637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.4"
"647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.8"
"657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.8"
"667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.2"
"677";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.1"
"687";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.1"
"697";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.0"
"707";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.7"
"717";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.2"
"727";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.4"
"737";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.7"
"747";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.6"
"757";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.5"
"767";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.9"
"777";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.4"
"787";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-19.8"
"797";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.3"
"807";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.6"
"817";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.5"
"827";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.4"
"837";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.2"
"847";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.5"
"857";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.4"
"867";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.8"
"877";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.1"
"887";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.4"
"897";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.3"
"907";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.6"
"917";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.3"
"927";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.3"
"937";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.7"
"947";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.4"
"957";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.8"
"967";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.1"
"977";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.3"
"987";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.4"
"997";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.9"
"1007";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.6"
"1017";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.6"
"1027";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.0"
"1037";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.4"
"1047";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.4"
"1057";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1067";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.8"
"1077";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.2"
"1087";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.6"
"1097";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.2"
"1107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.2"
"1117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.4"
"1127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.3"
"1137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.3"
"1147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.3"
"1157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.9"
"1167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.5"
"1177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.6"
"1187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.9"
"1197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.6"
"1207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.6"
"1217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.0"
"1227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.6"
"1237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.9"
"1247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.6"
"1257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.5"
"1267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.9"
"1277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.2"
"1287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.0"
"1307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.5"
"1317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.2"
"1327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.8"
"1337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.1"
"1347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.6"
"1357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.2"
"1367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.1"
"1377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.9"
"1387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.5"
"1397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.9"
"1407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.8"
"1417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.2"
"1427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.1"
"1437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.5"
"1447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.6"
"1457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.3"
"1467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.0"
"1477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.7"
"1487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.0"
"1497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.8"
"1507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.1"
"1517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.6"
"1527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.8"
"1537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.3"
"1547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.6"
"1557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.3"
"1567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.8"
"1587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.3"
"1607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.1"
"1617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.3"
"1627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.2"
"1637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.5"
"1647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.6"
"1657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.1"
"1667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.8"
"1677";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.0"
"1687";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.0"
"1697";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.9"
"1707";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.4"
"1717";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.0"
