"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.1"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.0"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-38.0"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-35.4"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-31.2"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-39.6"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-38.5"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-38.5"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-29.5"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.2"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.3"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-31.0"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-30.1"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-31.6"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.7"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.0"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-39.0"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-20.1"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.1"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.7"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.0"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.5"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.6"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.2"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.6"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.1"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.7"
"277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.1"
"287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.0"
"297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.9"
"307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-15.4"
"317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.4"
"327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.2"
"337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.7"
"347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.8"
"357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.8"
"367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.9"
"377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-10.8"
"387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.4"
"397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.4"
"407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.2"
"417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.5"
"427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.0"
"437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.7"
"447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.3"
"457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.5"
"467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.1"
"477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.2"
"487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.0"
"497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.7"
"507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.2"
"517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-13.8"
"527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-21.7"
"537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-16.8"
"547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.7"
"557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.3"
"567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-11.1"
"577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.8"
"587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.8"
"597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.6"
"607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.8"
"617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.2"
"627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.0"
"637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.6"
"647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.7"
"657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.2"
"667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.3"
"677";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.8"
"687";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.5"
"697";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.4"
"707";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"717";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.9"
"727";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.6"
"737";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"747";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.5"
"757";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.4"
"767";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.3"
"777";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.6"
"787";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"797";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.1"
"807";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-2.9"
"817";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.1"
"827";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-17.9"
"837";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"847";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"857";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"867";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"877";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"887";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"897";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"907";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"917";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"927";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.4"
"937";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.0"
"947";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.6"
"957";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.1"
"967";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.0"
"977";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.3"
"987";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.3"
"997";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1007";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1017";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1027";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1037";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1047";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1057";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1067";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1077";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1087";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1097";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"NaN"
"1127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.6"
"1137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.7"
"1147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.9"
"1157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.0"
"1167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.4"
"1177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.1"
"1187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.2"
"1197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.9"
"1207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.2"
"1217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.6"
"1227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.8"
"1237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-1.5"
"1247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.3"
"1257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.7"
"1267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.2"
"1277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-4.5"
"1287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.3"
"1297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-0.1"
"1307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.6"
"1317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.8"
"1327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.9"
"1337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.3"
"1347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.9"
"1357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.9"
"1367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.3"
"1377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.2"
"1387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.8"
"1397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.9"
"1407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.1"
"1417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.4"
"1427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.8"
"1437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.4"
"1447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.0"
"1457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.0"
"1467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.0"
"1477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.7"
"1487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.6"
"1497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.7"
"1507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.1"
"1517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.1"
"1527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.8"
"1537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.1"
"1547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.5"
"1557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.1"
"1567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.2"
"1577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.0"
"1587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.2"
"1597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.8"
"1607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.1"
"1617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.9"
"1627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.4"
"1637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.9"
"1647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.2"
"1657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.7"
"1667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.8"
"1677";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.7"
"1687";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.0"
"1697";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.3"
"1707";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.1"
"1717";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.5"
"1727";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.0"
"1737";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.0"
"1747";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.5"
"1757";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.0"
"1767";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"16.2"
"1777";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"16.7"
"1787";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"16.3"
"1797";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"14.6"
"1807";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"16.4"
"1817";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"19.0"
"1827";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"20.7"
"1837";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"18.8"
"1847";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.0"
"1857";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"21.1"
"1867";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.0"
"1877";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.6"
"1887";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"19.5"
"1897";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"19.3"
"1907";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"19.2"
"1917";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.6"
"1927";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.4"
"1937";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.5"
"1947";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.6"
"1957";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.1"
"1967";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.0"
"1977";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.2"
"1987";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.2"
"1997";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.2"
"2007";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.8"
"2017";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"16.1"
"2027";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.0"
"2037";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"18.5"
"2047";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"16.4"
"2057";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"17.3"
"2067";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.1"
"2077";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.4"
"2087";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.4"
"2097";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.7"
"2107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.6"
"2117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.6"
"2127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.4"
"2137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.3"
"2147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.4"
"2157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"15.3"
"2167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"12.0"
"2177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.3"
"2187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.7"
"2197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.1"
"2207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.3"
"2217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.2"
"2227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.6"
"2237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.5"
"2247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"13.3"
"2257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.6"
"2267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.5"
"2277";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.1"
"2287";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.9"
"2297";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"11.4"
"2307";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.3"
"2317";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.2"
"2327";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.4"
"2337";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"9.3"
"2347";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"10.4"
"2357";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.6"
"2367";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.0"
"2377";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.4"
"2387";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.0"
"2397";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.7"
"2407";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.1"
"2417";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.6"
"2427";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.0"
"2437";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.0"
"2447";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.5"
"2457";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.4"
"2467";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.6"
"2477";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.0"
"2487";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"0.9"
"2497";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.5"
"2507";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.3"
"2517";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.1"
"2527";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.5"
"2537";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.5"
"2547";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.4"
"2557";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"7.4"
"2567";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.8"
"2577";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.7"
"2587";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.8"
"2597";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"2.2"
"2607";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"1.1"
"2617";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"4.3"
"2627";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.7"
"2637";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"5.5"
"2647";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"3.2"
"2657";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"6.6"
"2667";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"8.6"
