"";"name1";"measurement"
"7";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.2"
"17";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-32.9"
"27";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.6"
"37";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-26.4"
"47";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-24.6"
"57";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-29.6"
"67";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-33.3"
"77";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-39.2"
"87";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-35.6"
"97";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-23.8"
"107";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.4"
"117";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-8.8"
"127";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-7.3"
"137";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-14.1"
"147";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-29.1"
"157";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-34.6"
"167";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-35.6"
"177";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-28.8"
"187";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-12.4"
"197";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.5"
"207";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.8"
"217";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.3"
"227";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-9.7"
"237";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-6.1"
"247";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-3.9"
"257";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-5.8"
"267";"Sodankylä Lapin ilmatieteellinen tutkimuskeskus";"-18.3"
