"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-11.3"
"12";"Helsinki Kaisaniemi";"-19.5"
"22";"Helsinki Kaisaniemi";"-1.8"
"32";"Helsinki Kaisaniemi";"1.9"
"42";"Helsinki Kaisaniemi";"-0.8"
"52";"Helsinki Kaisaniemi";"-11.0"
"62";"Helsinki Kaisaniemi";"-8.3"
"72";"Helsinki Kaisaniemi";"-3.6"
"82";"Helsinki Kaisaniemi";"-3.5"
"92";"Helsinki Kaisaniemi";"-3.5"
"102";"Helsinki Kaisaniemi";"-6.9"
"112";"Helsinki Kaisaniemi";"-10.6"
"122";"Helsinki Kaisaniemi";"-15.5"
"132";"Helsinki Kaisaniemi";"-11.7"
"142";"Helsinki Kaisaniemi";"-9.9"
"152";"Helsinki Kaisaniemi";"-7.5"
"162";"Helsinki Kaisaniemi";"-5.0"
"172";"Helsinki Kaisaniemi";"-4.5"
"182";"Helsinki Kaisaniemi";"-6.4"
"192";"Helsinki Kaisaniemi";"-8.5"
"202";"Helsinki Kaisaniemi";"-6.6"
"212";"Helsinki Kaisaniemi";"-10.4"
"222";"Helsinki Kaisaniemi";"-7.5"
"232";"Helsinki Kaisaniemi";"-6.0"
"242";"Helsinki Kaisaniemi";"-5.7"
"252";"Helsinki Kaisaniemi";"1.1"
"262";"Helsinki Kaisaniemi";"0.8"
"272";"Helsinki Kaisaniemi";"1.4"
"282";"Helsinki Kaisaniemi";"2.1"
"292";"Helsinki Kaisaniemi";"0.3"
"302";"Helsinki Kaisaniemi";"1.0"
"312";"Helsinki Kaisaniemi";"0.3"
"322";"Helsinki Kaisaniemi";"0.8"
"332";"Helsinki Kaisaniemi";"0.7"
"342";"Helsinki Kaisaniemi";"1.1"
"352";"Helsinki Kaisaniemi";"0.6"
"362";"Helsinki Kaisaniemi";"-4.1"
"372";"Helsinki Kaisaniemi";"-7.9"
"382";"Helsinki Kaisaniemi";"-4.2"
"392";"Helsinki Kaisaniemi";"2.1"
"402";"Helsinki Kaisaniemi";"0.1"
"412";"Helsinki Kaisaniemi";"-2.6"
"422";"Helsinki Kaisaniemi";"-2.2"
"432";"Helsinki Kaisaniemi";"-3.3"
"442";"Helsinki Kaisaniemi";"-3.9"
"452";"Helsinki Kaisaniemi";"-3.4"
"462";"Helsinki Kaisaniemi";"-1.4"
"472";"Helsinki Kaisaniemi";"-7.2"
"482";"Helsinki Kaisaniemi";"-9.2"
"492";"Helsinki Kaisaniemi";"-13.8"
"502";"Helsinki Kaisaniemi";"-13.2"
"512";"Helsinki Kaisaniemi";"-14.2"
"522";"Helsinki Kaisaniemi";"-10.6"
"532";"Helsinki Kaisaniemi";"-8.4"
"542";"Helsinki Kaisaniemi";"-4.9"
"552";"Helsinki Kaisaniemi";"-8.5"
"562";"Helsinki Kaisaniemi";"-7.3"
"572";"Helsinki Kaisaniemi";"-1.5"
"582";"Helsinki Kaisaniemi";"0.6"
"592";"Helsinki Kaisaniemi";"0.0"
"602";"Helsinki Kaisaniemi";"0.9"
"612";"Helsinki Kaisaniemi";"1.2"
"622";"Helsinki Kaisaniemi";"1.3"
"632";"Helsinki Kaisaniemi";"1.3"
"642";"Helsinki Kaisaniemi";"0.2"
"652";"Helsinki Kaisaniemi";"1.4"
"662";"Helsinki Kaisaniemi";"1.4"
"672";"Helsinki Kaisaniemi";"0.8"
"682";"Helsinki Kaisaniemi";"1.1"
"692";"Helsinki Kaisaniemi";"1.1"
"702";"Helsinki Kaisaniemi";"-0.9"
"712";"Helsinki Kaisaniemi";"0.3"
"722";"Helsinki Kaisaniemi";"3.1"
"732";"Helsinki Kaisaniemi";"3.2"
"742";"Helsinki Kaisaniemi";"1.8"
"752";"Helsinki Kaisaniemi";"4.9"
"762";"Helsinki Kaisaniemi";"-2.7"
"772";"Helsinki Kaisaniemi";"-2.2"
"782";"Helsinki Kaisaniemi";"-2.7"
"792";"Helsinki Kaisaniemi";"4.4"
"802";"Helsinki Kaisaniemi";"3.1"
"812";"Helsinki Kaisaniemi";"-5.1"
"822";"Helsinki Kaisaniemi";"-5.8"
"832";"Helsinki Kaisaniemi";"-4.9"
"842";"Helsinki Kaisaniemi";"-4.5"
"852";"Helsinki Kaisaniemi";"-2.6"
"862";"Helsinki Kaisaniemi";"-2.0"
"872";"Helsinki Kaisaniemi";"-3.2"
"882";"Helsinki Kaisaniemi";"0.0"
"892";"Helsinki Kaisaniemi";"-1.2"
"902";"Helsinki Kaisaniemi";"-1.5"
"912";"Helsinki Kaisaniemi";"0.7"
"922";"Helsinki Kaisaniemi";"0.7"
"932";"Helsinki Kaisaniemi";"0.9"
"942";"Helsinki Kaisaniemi";"-0.2"
"952";"Helsinki Kaisaniemi";"2.0"
"962";"Helsinki Kaisaniemi";"1.3"
"972";"Helsinki Kaisaniemi";"1.6"
"982";"Helsinki Kaisaniemi";"2.0"
"992";"Helsinki Kaisaniemi";"3.1"
"1002";"Helsinki Kaisaniemi";"0.8"
"1012";"Helsinki Kaisaniemi";"2.3"
"1022";"Helsinki Kaisaniemi";"3.5"
"1032";"Helsinki Kaisaniemi";"1.7"
"1042";"Helsinki Kaisaniemi";"1.4"
"1052";"Helsinki Kaisaniemi";"2.0"
"1062";"Helsinki Kaisaniemi";"2.3"
"1072";"Helsinki Kaisaniemi";"4.3"
"1082";"Helsinki Kaisaniemi";"3.8"
"1092";"Helsinki Kaisaniemi";"2.0"
"1102";"Helsinki Kaisaniemi";"-0.2"
"1112";"Helsinki Kaisaniemi";"2.5"
"1122";"Helsinki Kaisaniemi";"0.6"
"1132";"Helsinki Kaisaniemi";"1.6"
"1142";"Helsinki Kaisaniemi";"2.3"
"1152";"Helsinki Kaisaniemi";"2.5"
"1162";"Helsinki Kaisaniemi";"2.9"
"1172";"Helsinki Kaisaniemi";"2.3"
"1182";"Helsinki Kaisaniemi";"3.1"
"1192";"Helsinki Kaisaniemi";"2.9"
"1202";"Helsinki Kaisaniemi";"3.9"
"1212";"Helsinki Kaisaniemi";"5.0"
"1222";"Helsinki Kaisaniemi";"5.0"
"1232";"Helsinki Kaisaniemi";"7.9"
"1242";"Helsinki Kaisaniemi";"8.6"
"1252";"Helsinki Kaisaniemi";"5.3"
"1262";"Helsinki Kaisaniemi";"7.6"
"1272";"Helsinki Kaisaniemi";"5.5"
"1282";"Helsinki Kaisaniemi";"5.4"
"1292";"Helsinki Kaisaniemi";"3.5"
"1302";"Helsinki Kaisaniemi";"1.5"
"1312";"Helsinki Kaisaniemi";"2.3"
"1322";"Helsinki Kaisaniemi";"3.5"
"1332";"Helsinki Kaisaniemi";"5.5"
"1342";"Helsinki Kaisaniemi";"4.7"
"1352";"Helsinki Kaisaniemi";"7.0"
"1362";"Helsinki Kaisaniemi";"7.8"
"1372";"Helsinki Kaisaniemi";"7.8"
"1382";"Helsinki Kaisaniemi";"7.7"
"1392";"Helsinki Kaisaniemi";"6.5"
"1402";"Helsinki Kaisaniemi";"7.9"
"1412";"Helsinki Kaisaniemi";"9.4"
"1422";"Helsinki Kaisaniemi";"8.5"
"1432";"Helsinki Kaisaniemi";"8.0"
"1442";"Helsinki Kaisaniemi";"9.7"
"1452";"Helsinki Kaisaniemi";"11.1"
"1462";"Helsinki Kaisaniemi";"6.7"
"1472";"Helsinki Kaisaniemi";"8.5"
"1482";"Helsinki Kaisaniemi";"8.5"
"1492";"Helsinki Kaisaniemi";"8.3"
"1502";"Helsinki Kaisaniemi";"9.2"
"1512";"Helsinki Kaisaniemi";"9.1"
"1522";"Helsinki Kaisaniemi";"11.7"
"1532";"Helsinki Kaisaniemi";"9.6"
"1542";"Helsinki Kaisaniemi";"13.4"
"1552";"Helsinki Kaisaniemi";"9.7"
"1562";"Helsinki Kaisaniemi";"12.2"
"1572";"Helsinki Kaisaniemi";"12.7"
"1582";"Helsinki Kaisaniemi";"13.7"
"1592";"Helsinki Kaisaniemi";"12.8"
"1602";"Helsinki Kaisaniemi";"8.6"
"1612";"Helsinki Kaisaniemi";"9.2"
"1622";"Helsinki Kaisaniemi";"12.2"
"1632";"Helsinki Kaisaniemi";"14.2"
"1642";"Helsinki Kaisaniemi";"15.5"
"1652";"Helsinki Kaisaniemi";"11.3"
"1662";"Helsinki Kaisaniemi";"11.7"
"1672";"Helsinki Kaisaniemi";"15.7"
"1682";"Helsinki Kaisaniemi";"15.6"
"1692";"Helsinki Kaisaniemi";"16.9"
"1702";"Helsinki Kaisaniemi";"14.8"
"1712";"Helsinki Kaisaniemi";"11.4"
"1722";"Helsinki Kaisaniemi";"11.8"
"1732";"Helsinki Kaisaniemi";"10.9"
"1742";"Helsinki Kaisaniemi";"13.4"
"1752";"Helsinki Kaisaniemi";"15.2"
"1762";"Helsinki Kaisaniemi";"12.9"
"1772";"Helsinki Kaisaniemi";"14.8"
"1782";"Helsinki Kaisaniemi";"18.3"
"1792";"Helsinki Kaisaniemi";"13.3"
"1802";"Helsinki Kaisaniemi";"15.1"
"1812";"Helsinki Kaisaniemi";"17.4"
"1822";"Helsinki Kaisaniemi";"19.4"
"1832";"Helsinki Kaisaniemi";"19.7"
"1842";"Helsinki Kaisaniemi";"22.5"
"1852";"Helsinki Kaisaniemi";"19.4"
"1862";"Helsinki Kaisaniemi";"20.5"
"1872";"Helsinki Kaisaniemi";"22.1"
"1882";"Helsinki Kaisaniemi";"23.7"
"1892";"Helsinki Kaisaniemi";"21.7"
"1902";"Helsinki Kaisaniemi";"20.9"
"1912";"Helsinki Kaisaniemi";"22.5"
"1922";"Helsinki Kaisaniemi";"23.6"
