"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-2.4"
"12";"Helsinki Kaisaniemi";"-7.9"
"22";"Helsinki Kaisaniemi";"-13.3"
"32";"Helsinki Kaisaniemi";"-18.2"
"42";"Helsinki Kaisaniemi";"-9.4"
"52";"Helsinki Kaisaniemi";"-15.0"
"62";"Helsinki Kaisaniemi";"-19.9"
"72";"Helsinki Kaisaniemi";"-16.0"
"82";"Helsinki Kaisaniemi";"-21.8"
"92";"Helsinki Kaisaniemi";"-12.1"
"102";"Helsinki Kaisaniemi";"-11.3"
"112";"Helsinki Kaisaniemi";"-17.9"
"122";"Helsinki Kaisaniemi";"-21.5"
"132";"Helsinki Kaisaniemi";"-19.4"
"142";"Helsinki Kaisaniemi";"-6.0"
"152";"Helsinki Kaisaniemi";"-12.3"
"162";"Helsinki Kaisaniemi";"-15.2"
"172";"Helsinki Kaisaniemi";"-7.8"
"182";"Helsinki Kaisaniemi";"-5.0"
"192";"Helsinki Kaisaniemi";"-5.6"
"202";"Helsinki Kaisaniemi";"1.4"
"212";"Helsinki Kaisaniemi";"1.0"
"222";"Helsinki Kaisaniemi";"-3.8"
"232";"Helsinki Kaisaniemi";"-12.3"
"242";"Helsinki Kaisaniemi";"-0.1"
"252";"Helsinki Kaisaniemi";"1.5"
"262";"Helsinki Kaisaniemi";"1.9"
"272";"Helsinki Kaisaniemi";"1.6"
"282";"Helsinki Kaisaniemi";"2.2"
"292";"Helsinki Kaisaniemi";"0.2"
"302";"Helsinki Kaisaniemi";"0.7"
"312";"Helsinki Kaisaniemi";"-0.8"
"322";"Helsinki Kaisaniemi";"-1.0"
"332";"Helsinki Kaisaniemi";"-1.1"
"342";"Helsinki Kaisaniemi";"-1.5"
"352";"Helsinki Kaisaniemi";"-0.1"
"362";"Helsinki Kaisaniemi";"0.6"
"372";"Helsinki Kaisaniemi";"-0.4"
"382";"Helsinki Kaisaniemi";"-4.0"
"392";"Helsinki Kaisaniemi";"-7.0"
"402";"Helsinki Kaisaniemi";"-5.0"
"412";"Helsinki Kaisaniemi";"-12.6"
"422";"Helsinki Kaisaniemi";"-13.7"
"432";"Helsinki Kaisaniemi";"-3.9"
