"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-17.1"
"12";"Helsinki Kaisaniemi";"-17.6"
"22";"Helsinki Kaisaniemi";"-10.5"
"32";"Helsinki Kaisaniemi";"-4.4"
"42";"Helsinki Kaisaniemi";"-12.5"
"52";"Helsinki Kaisaniemi";"-17.9"
"62";"Helsinki Kaisaniemi";"-6.5"
"72";"Helsinki Kaisaniemi";"-4.5"
"82";"Helsinki Kaisaniemi";"-12.5"
"92";"Helsinki Kaisaniemi";"-6.8"
"102";"Helsinki Kaisaniemi";"-12.3"
"112";"Helsinki Kaisaniemi";"-7.1"
"122";"Helsinki Kaisaniemi";"-5.8"
"132";"Helsinki Kaisaniemi";"-4.6"
"142";"Helsinki Kaisaniemi";"-15.7"
"152";"Helsinki Kaisaniemi";"-10.9"
"162";"Helsinki Kaisaniemi";"-4.6"
"172";"Helsinki Kaisaniemi";"-13.6"
"182";"Helsinki Kaisaniemi";"-10.2"
"192";"Helsinki Kaisaniemi";"-8.2"
"202";"Helsinki Kaisaniemi";"-6.7"
"212";"Helsinki Kaisaniemi";"-4.5"
"222";"Helsinki Kaisaniemi";"-8.7"
"232";"Helsinki Kaisaniemi";"-3.7"
"242";"Helsinki Kaisaniemi";"-3.7"
"252";"Helsinki Kaisaniemi";"-8.3"
"262";"Helsinki Kaisaniemi";"-3.4"
"272";"Helsinki Kaisaniemi";"-3.6"
"282";"Helsinki Kaisaniemi";"-9.7"
"292";"Helsinki Kaisaniemi";"-11.1"
"302";"Helsinki Kaisaniemi";"-5.1"
"312";"Helsinki Kaisaniemi";"-16.1"
"322";"Helsinki Kaisaniemi";"-19.9"
"332";"Helsinki Kaisaniemi";"-16.8"
"342";"Helsinki Kaisaniemi";"-16.7"
"352";"Helsinki Kaisaniemi";"-19.3"
"362";"Helsinki Kaisaniemi";"-16.2"
"372";"Helsinki Kaisaniemi";"-16.9"
"382";"Helsinki Kaisaniemi";"-9.8"
"392";"Helsinki Kaisaniemi";"1.5"
"402";"Helsinki Kaisaniemi";"-0.6"
"412";"Helsinki Kaisaniemi";"-7.7"
"422";"Helsinki Kaisaniemi";"-7.0"
"432";"Helsinki Kaisaniemi";"-5.2"
"442";"Helsinki Kaisaniemi";"-6.1"
"452";"Helsinki Kaisaniemi";"-10.0"
"462";"Helsinki Kaisaniemi";"-9.0"
"472";"Helsinki Kaisaniemi";"-12.9"
"482";"Helsinki Kaisaniemi";"-20.0"
"492";"Helsinki Kaisaniemi";"-12.9"
"502";"Helsinki Kaisaniemi";"-21.1"
"512";"Helsinki Kaisaniemi";"-10.0"
"522";"Helsinki Kaisaniemi";"-15.2"
