"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-5.9"
"12";"Helsinki Kaisaniemi";"-3.5"
"22";"Helsinki Kaisaniemi";"-3.2"
"32";"Helsinki Kaisaniemi";"-5.7"
"42";"Helsinki Kaisaniemi";"-6.6"
"52";"Helsinki Kaisaniemi";"-7.7"
"62";"Helsinki Kaisaniemi";"-6.1"
"72";"Helsinki Kaisaniemi";"-7.6"
"82";"Helsinki Kaisaniemi";"-17.1"
"92";"Helsinki Kaisaniemi";"-23.2"
"102";"Helsinki Kaisaniemi";"-15.2"
"112";"Helsinki Kaisaniemi";"-12.2"
"122";"Helsinki Kaisaniemi";"-13.8"
"132";"Helsinki Kaisaniemi";"-9.2"
"142";"Helsinki Kaisaniemi";"-5.9"
"152";"Helsinki Kaisaniemi";"-10.8"
"162";"Helsinki Kaisaniemi";"-11.0"
"172";"Helsinki Kaisaniemi";"-8.9"
"182";"Helsinki Kaisaniemi";"-11.1"
"192";"Helsinki Kaisaniemi";"-13.6"
"202";"Helsinki Kaisaniemi";"-11.6"
"212";"Helsinki Kaisaniemi";"-11.6"
"222";"Helsinki Kaisaniemi";"-7.1"
"232";"Helsinki Kaisaniemi";"-8.4"
"242";"Helsinki Kaisaniemi";"0.2"
"252";"Helsinki Kaisaniemi";"-7.0"
"262";"Helsinki Kaisaniemi";"-11.0"
"272";"Helsinki Kaisaniemi";"-5.3"
"282";"Helsinki Kaisaniemi";"-16.4"
"292";"Helsinki Kaisaniemi";"-18.4"
"302";"Helsinki Kaisaniemi";"-7.7"
"312";"Helsinki Kaisaniemi";"-6.8"
"322";"Helsinki Kaisaniemi";"-2.5"
"332";"Helsinki Kaisaniemi";"-4.4"
"342";"Helsinki Kaisaniemi";"-9.9"
"352";"Helsinki Kaisaniemi";"-17.7"
"362";"Helsinki Kaisaniemi";"-16.3"
"372";"Helsinki Kaisaniemi";"-14.8"
"382";"Helsinki Kaisaniemi";"-15.7"
"392";"Helsinki Kaisaniemi";"-14.8"
"402";"Helsinki Kaisaniemi";"-11.2"
"412";"Helsinki Kaisaniemi";"-5.3"
"422";"Helsinki Kaisaniemi";"-4.2"
"432";"Helsinki Kaisaniemi";"-6.4"
"442";"Helsinki Kaisaniemi";"-7.1"
"452";"Helsinki Kaisaniemi";"-4.6"
"462";"Helsinki Kaisaniemi";"-0.2"
"472";"Helsinki Kaisaniemi";"0.7"
"482";"Helsinki Kaisaniemi";"0.6"
"492";"Helsinki Kaisaniemi";"0.6"
"502";"Helsinki Kaisaniemi";"-6.0"
"512";"Helsinki Kaisaniemi";"-6.2"
"522";"Helsinki Kaisaniemi";"-14.0"
"532";"Helsinki Kaisaniemi";"-12.0"
"542";"Helsinki Kaisaniemi";"-2.3"
"552";"Helsinki Kaisaniemi";"-4.0"
"562";"Helsinki Kaisaniemi";"-1.5"
"572";"Helsinki Kaisaniemi";"-1.8"
"582";"Helsinki Kaisaniemi";"-5.3"
"592";"Helsinki Kaisaniemi";"-1.8"
"602";"Helsinki Kaisaniemi";"1.5"
"612";"Helsinki Kaisaniemi";"0.4"
"622";"Helsinki Kaisaniemi";"1.7"
"632";"Helsinki Kaisaniemi";"-1.8"
"642";"Helsinki Kaisaniemi";"-2.7"
"652";"Helsinki Kaisaniemi";"-4.4"
