"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-23.8"
"12";"Helsinki Kaisaniemi";"-23.1"
"22";"Helsinki Kaisaniemi";"-10.4"
"32";"Helsinki Kaisaniemi";"-2.2"
"42";"Helsinki Kaisaniemi";"-0.2"
"52";"Helsinki Kaisaniemi";"-1.0"
"62";"Helsinki Kaisaniemi";"-0.9"
"72";"Helsinki Kaisaniemi";"-4.3"
"82";"Helsinki Kaisaniemi";"-3.5"
"92";"Helsinki Kaisaniemi";"-1.3"
"102";"Helsinki Kaisaniemi";"-9.9"
"112";"Helsinki Kaisaniemi";"-11.6"
"122";"Helsinki Kaisaniemi";"-17.8"
"132";"Helsinki Kaisaniemi";"-16.0"
"142";"Helsinki Kaisaniemi";"-19.9"
"152";"Helsinki Kaisaniemi";"-15.8"
"162";"Helsinki Kaisaniemi";"-17.6"
"172";"Helsinki Kaisaniemi";"-16.2"
"182";"Helsinki Kaisaniemi";"-17.6"
"192";"Helsinki Kaisaniemi";"-16.7"
"202";"Helsinki Kaisaniemi";"-19.2"
"212";"Helsinki Kaisaniemi";"-21.6"
"222";"Helsinki Kaisaniemi";"-12.6"
"232";"Helsinki Kaisaniemi";"-17.2"
"242";"Helsinki Kaisaniemi";"-17.5"
"252";"Helsinki Kaisaniemi";"-16.0"
"262";"Helsinki Kaisaniemi";"-12.6"
"272";"Helsinki Kaisaniemi";"-12.5"
"282";"Helsinki Kaisaniemi";"-14.7"
"292";"Helsinki Kaisaniemi";"-8.9"
"302";"Helsinki Kaisaniemi";"-9.2"
"312";"Helsinki Kaisaniemi";"-12.5"
"322";"Helsinki Kaisaniemi";"-13.0"
"332";"Helsinki Kaisaniemi";"-10.2"
"342";"Helsinki Kaisaniemi";"-11.9"
"352";"Helsinki Kaisaniemi";"-14.3"
"362";"Helsinki Kaisaniemi";"-16.7"
"372";"Helsinki Kaisaniemi";"-14.3"
"382";"Helsinki Kaisaniemi";"-16.4"
"392";"Helsinki Kaisaniemi";"-11.7"
