"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";-10
"12";"Helsinki Kaisaniemi";-18
"22";"Helsinki Kaisaniemi";-15,8
"32";"Helsinki Kaisaniemi";-12,5
"42";"Helsinki Kaisaniemi";-15
"52";"Helsinki Kaisaniemi";-18,1
"62";"Helsinki Kaisaniemi";-18,8
"72";"Helsinki Kaisaniemi";-18,6
"82";"Helsinki Kaisaniemi";-19,9
"92";"Helsinki Kaisaniemi";-12,6
"102";"Helsinki Kaisaniemi";-10
"112";"Helsinki Kaisaniemi";-12,5
"122";"Helsinki Kaisaniemi";-7,2
"132";"Helsinki Kaisaniemi";-1,6
"142";"Helsinki Kaisaniemi";0,9
"152";"Helsinki Kaisaniemi";-2,7
"162";"Helsinki Kaisaniemi";-4,1
"172";"Helsinki Kaisaniemi";-2,1
"182";"Helsinki Kaisaniemi";-2,2
"192";"Helsinki Kaisaniemi";-0,2
"202";"Helsinki Kaisaniemi";-1,1
"212";"Helsinki Kaisaniemi";-1,4
"222";"Helsinki Kaisaniemi";-2,1
"232";"Helsinki Kaisaniemi";-11,2
"242";"Helsinki Kaisaniemi";-5,6
"252";"Helsinki Kaisaniemi";-9,6
"262";"Helsinki Kaisaniemi";-11,2
"272";"Helsinki Kaisaniemi";-11,7
"282";"Helsinki Kaisaniemi";-6,5
"292";"Helsinki Kaisaniemi";-3,7
"302";"Helsinki Kaisaniemi";-2,2
"312";"Helsinki Kaisaniemi";-7,8
"322";"Helsinki Kaisaniemi";-9,5
"332";"Helsinki Kaisaniemi";-1,3
"342";"Helsinki Kaisaniemi";-3,4
"352";"Helsinki Kaisaniemi";-5,2
"362";"Helsinki Kaisaniemi";-8,1
"372";"Helsinki Kaisaniemi";-14,2
"382";"Helsinki Kaisaniemi";-15,9
"392";"Helsinki Kaisaniemi";-13,3
"402";"Helsinki Kaisaniemi";-3,4
"412";"Helsinki Kaisaniemi";0,4
"422";"Helsinki Kaisaniemi";0
"432";"Helsinki Kaisaniemi";0,2
"442";"Helsinki Kaisaniemi";-1,2
"452";"Helsinki Kaisaniemi";-0,1
"462";"Helsinki Kaisaniemi";-2,6
"472";"Helsinki Kaisaniemi";-1,8
"482";"Helsinki Kaisaniemi";-4,4
"492";"Helsinki Kaisaniemi";-6,3
"502";"Helsinki Kaisaniemi";-4,6
"512";"Helsinki Kaisaniemi";-3
"522";"Helsinki Kaisaniemi";-4,3
"532";"Helsinki Kaisaniemi";-2,6
"542";"Helsinki Kaisaniemi";-1,6
"552";"Helsinki Kaisaniemi";-1,1
"562";"Helsinki Kaisaniemi";-3,1
"572";"Helsinki Kaisaniemi";-9,2
"582";"Helsinki Kaisaniemi";-7
"592";"Helsinki Kaisaniemi";-2,1
"602";"Helsinki Kaisaniemi";1,1
"612";"Helsinki Kaisaniemi";0,3
"622";"Helsinki Kaisaniemi";0,9
"632";"Helsinki Kaisaniemi";0,2
"642";"Helsinki Kaisaniemi";-5,8
"652";"Helsinki Kaisaniemi";-3
"662";"Helsinki Kaisaniemi";-0,2
"672";"Helsinki Kaisaniemi";-5,6
"682";"Helsinki Kaisaniemi";-5,1
"692";"Helsinki Kaisaniemi";-1,8
"702";"Helsinki Kaisaniemi";-1,7
"712";"Helsinki Kaisaniemi";0,6
"722";"Helsinki Kaisaniemi";1,2
"732";"Helsinki Kaisaniemi";1,2
"742";"Helsinki Kaisaniemi";1,4
"752";"Helsinki Kaisaniemi";1,6
"762";"Helsinki Kaisaniemi";1,4
"772";"Helsinki Kaisaniemi";-0,1
"782";"Helsinki Kaisaniemi";0,7
"792";"Helsinki Kaisaniemi";-0,2
"802";"Helsinki Kaisaniemi";-3,2
"812";"Helsinki Kaisaniemi";-2,5
"822";"Helsinki Kaisaniemi";1
"832";"Helsinki Kaisaniemi";3,2
"842";"Helsinki Kaisaniemi";7,3
"852";"Helsinki Kaisaniemi";7,2
"862";"Helsinki Kaisaniemi";3,3
"872";"Helsinki Kaisaniemi";1
"882";"Helsinki Kaisaniemi";1,1
"892";"Helsinki Kaisaniemi";2,5
"902";"Helsinki Kaisaniemi";5,6
"912";"Helsinki Kaisaniemi";5,9
"922";"Helsinki Kaisaniemi";2,1
"932";"Helsinki Kaisaniemi";3,8
"942";"Helsinki Kaisaniemi";2,1
"952";"Helsinki Kaisaniemi";0,9
"962";"Helsinki Kaisaniemi";1,5
"972";"Helsinki Kaisaniemi";4,5
"982";"Helsinki Kaisaniemi";1,5
"992";"Helsinki Kaisaniemi";-0,2
"1002";"Helsinki Kaisaniemi";0,7
"1012";"Helsinki Kaisaniemi";0,3
"1022";"Helsinki Kaisaniemi";0,2
"1032";"Helsinki Kaisaniemi";0,8
"1042";"Helsinki Kaisaniemi";0,3
"1052";"Helsinki Kaisaniemi";2,1
"1062";"Helsinki Kaisaniemi";3,8
"1072";"Helsinki Kaisaniemi";2,9
"1082";"Helsinki Kaisaniemi";1,9
"1092";"Helsinki Kaisaniemi";1,7
"1102";"Helsinki Kaisaniemi";2,8
"1112";"Helsinki Kaisaniemi";2,7
"1122";"Helsinki Kaisaniemi";3,8
"1132";"Helsinki Kaisaniemi";5,3
"1142";"Helsinki Kaisaniemi";8,9
"1152";"Helsinki Kaisaniemi";6,9
"1162";"Helsinki Kaisaniemi";7,1
"1172";"Helsinki Kaisaniemi";5
"1182";"Helsinki Kaisaniemi";4,5
"1192";"Helsinki Kaisaniemi";5,9
"1202";"Helsinki Kaisaniemi";4,7
"1212";"Helsinki Kaisaniemi";5,9
"1222";"Helsinki Kaisaniemi";3,2
"1232";"Helsinki Kaisaniemi";6,1
"1242";"Helsinki Kaisaniemi";7,2
"1252";"Helsinki Kaisaniemi";12,4
"1262";"Helsinki Kaisaniemi";13,7
"1272";"Helsinki Kaisaniemi";9,8
"1282";"Helsinki Kaisaniemi";7,8
"1292";"Helsinki Kaisaniemi";8,8
"1302";"Helsinki Kaisaniemi";6,5
"1312";"Helsinki Kaisaniemi";9,5
"1322";"Helsinki Kaisaniemi";7,3
"1332";"Helsinki Kaisaniemi";8,1
"1342";"Helsinki Kaisaniemi";7,8
"1352";"Helsinki Kaisaniemi";6,5
"1362";"Helsinki Kaisaniemi";7,8
"1372";"Helsinki Kaisaniemi";6
"1382";"Helsinki Kaisaniemi";6,5
"1392";"Helsinki Kaisaniemi";6,7
"1402";"Helsinki Kaisaniemi";5,7
"1412";"Helsinki Kaisaniemi";8,1
"1422";"Helsinki Kaisaniemi";10
"1432";"Helsinki Kaisaniemi";11,6
"1442";"Helsinki Kaisaniemi";9,6
"1452";"Helsinki Kaisaniemi";9,6
"1462";"Helsinki Kaisaniemi";12,6
"1472";"Helsinki Kaisaniemi";13,9
"1482";"Helsinki Kaisaniemi";12,1
"1492";"Helsinki Kaisaniemi";14,3
"1502";"Helsinki Kaisaniemi";18
