"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";-3,1
"12";"Helsinki Kaisaniemi";-2,4
"22";"Helsinki Kaisaniemi";-0,3
"32";"Helsinki Kaisaniemi";1,5
"42";"Helsinki Kaisaniemi";1,9
"52";"Helsinki Kaisaniemi";1,4
"62";"Helsinki Kaisaniemi";1
"72";"Helsinki Kaisaniemi";0,4
"82";"Helsinki Kaisaniemi";-0,8
"92";"Helsinki Kaisaniemi";-1,5
"102";"Helsinki Kaisaniemi";1,9
"112";"Helsinki Kaisaniemi";0,1
"122";"Helsinki Kaisaniemi";-1,5
"132";"Helsinki Kaisaniemi";0,9
"142";"Helsinki Kaisaniemi";2
"152";"Helsinki Kaisaniemi";2,2
"162";"Helsinki Kaisaniemi";2,4
"172";"Helsinki Kaisaniemi";1,6
"182";"Helsinki Kaisaniemi";1,2
"192";"Helsinki Kaisaniemi";-0,1
"202";"Helsinki Kaisaniemi";-4,7
"212";"Helsinki Kaisaniemi";-0,1
"222";"Helsinki Kaisaniemi";1,6
"232";"Helsinki Kaisaniemi";-2,5
"242";"Helsinki Kaisaniemi";0,1
"252";"Helsinki Kaisaniemi";1,3
"262";"Helsinki Kaisaniemi";1
"272";"Helsinki Kaisaniemi";-4,8
"282";"Helsinki Kaisaniemi";-8,9
"292";"Helsinki Kaisaniemi";-9
"302";"Helsinki Kaisaniemi";-14,3
"312";"Helsinki Kaisaniemi";-17,3
"322";"Helsinki Kaisaniemi";-8,8
"332";"Helsinki Kaisaniemi";-7,7
"342";"Helsinki Kaisaniemi";-13
"352";"Helsinki Kaisaniemi";-13,2
"362";"Helsinki Kaisaniemi";-15,6
"372";"Helsinki Kaisaniemi";-4,4
"382";"Helsinki Kaisaniemi";0,4
"392";"Helsinki Kaisaniemi";-2,1
"402";"Helsinki Kaisaniemi";2,3
"412";"Helsinki Kaisaniemi";1,5
"422";"Helsinki Kaisaniemi";-1,3
"432";"Helsinki Kaisaniemi";-5,1
"442";"Helsinki Kaisaniemi";-3,4
"452";"Helsinki Kaisaniemi";-5,7
"462";"Helsinki Kaisaniemi";-1,3
"472";"Helsinki Kaisaniemi";-12,3
"482";"Helsinki Kaisaniemi";-0,6
"492";"Helsinki Kaisaniemi";6,5
"502";"Helsinki Kaisaniemi";0,9
"512";"Helsinki Kaisaniemi";2,9
"522";"Helsinki Kaisaniemi";2,7
"532";"Helsinki Kaisaniemi";2,6
"542";"Helsinki Kaisaniemi";-4,4
"552";"Helsinki Kaisaniemi";-8,7
"562";"Helsinki Kaisaniemi";1,4
"572";"Helsinki Kaisaniemi";2,5
"582";"Helsinki Kaisaniemi";1,7
"592";"Helsinki Kaisaniemi";-0,5
"602";"Helsinki Kaisaniemi";-4,7
"612";"Helsinki Kaisaniemi";-3,2
"622";"Helsinki Kaisaniemi";-0,6
"632";"Helsinki Kaisaniemi";-4,1
"642";"Helsinki Kaisaniemi";-9
"652";"Helsinki Kaisaniemi";-7,3
"662";"Helsinki Kaisaniemi";-6,8
"672";"Helsinki Kaisaniemi";-5,4
"682";"Helsinki Kaisaniemi";-8
"692";"Helsinki Kaisaniemi";-7,8
"702";"Helsinki Kaisaniemi";-6,4
"712";"Helsinki Kaisaniemi";-8,4
"722";"Helsinki Kaisaniemi";-9
"732";"Helsinki Kaisaniemi";-9,7
"742";"Helsinki Kaisaniemi";-5,5
"752";"Helsinki Kaisaniemi";-2,2
"762";"Helsinki Kaisaniemi";0,3
"772";"Helsinki Kaisaniemi";-0,5
"782";"Helsinki Kaisaniemi";-1,9
"792";"Helsinki Kaisaniemi";-1,9
"802";"Helsinki Kaisaniemi";-2,8
"812";"Helsinki Kaisaniemi";-2,3
"822";"Helsinki Kaisaniemi";-2,2
"832";"Helsinki Kaisaniemi";-0,4
"842";"Helsinki Kaisaniemi";1
"852";"Helsinki Kaisaniemi";1,7
"862";"Helsinki Kaisaniemi";1
"872";"Helsinki Kaisaniemi";1,1
"882";"Helsinki Kaisaniemi";1,9
"892";"Helsinki Kaisaniemi";1,6
"902";"Helsinki Kaisaniemi";-5,5
"912";"Helsinki Kaisaniemi";-6,3
"922";"Helsinki Kaisaniemi";-5,1
"932";"Helsinki Kaisaniemi";-3,3
"942";"Helsinki Kaisaniemi";-1
"952";"Helsinki Kaisaniemi";-0,1
"962";"Helsinki Kaisaniemi";-1,1
"972";"Helsinki Kaisaniemi";-0,2
"982";"Helsinki Kaisaniemi";-0,9
"992";"Helsinki Kaisaniemi";-0,6
"1002";"Helsinki Kaisaniemi";0,3
"1012";"Helsinki Kaisaniemi";-1,6
"1022";"Helsinki Kaisaniemi";-1,6
"1032";"Helsinki Kaisaniemi";0
"1042";"Helsinki Kaisaniemi";-0,3
"1052";"Helsinki Kaisaniemi";2,2
"1062";"Helsinki Kaisaniemi";2,8
"1072";"Helsinki Kaisaniemi";3,6
"1082";"Helsinki Kaisaniemi";4,8
"1092";"Helsinki Kaisaniemi";4,9
"1102";"Helsinki Kaisaniemi";6,1
"1112";"Helsinki Kaisaniemi";6,5
"1122";"Helsinki Kaisaniemi";6,9
"1132";"Helsinki Kaisaniemi";7,2
"1142";"Helsinki Kaisaniemi";6,1
"1152";"Helsinki Kaisaniemi";8,4
"1162";"Helsinki Kaisaniemi";9,3
"1172";"Helsinki Kaisaniemi";11,6
"1182";"Helsinki Kaisaniemi";13,3
"1192";"Helsinki Kaisaniemi";13,2
"1202";"Helsinki Kaisaniemi";13,3
"1212";"Helsinki Kaisaniemi";12,4
"1222";"Helsinki Kaisaniemi";12,2
"1232";"Helsinki Kaisaniemi";10,2
"1242";"Helsinki Kaisaniemi";8,9
"1252";"Helsinki Kaisaniemi";8,4
"1262";"Helsinki Kaisaniemi";6
"1272";"Helsinki Kaisaniemi";6,6
"1282";"Helsinki Kaisaniemi";10,7
"1292";"Helsinki Kaisaniemi";9,7
"1302";"Helsinki Kaisaniemi";11,5
"1312";"Helsinki Kaisaniemi";9,8
"1322";"Helsinki Kaisaniemi";7,5
"1332";"Helsinki Kaisaniemi";8,7
"1342";"Helsinki Kaisaniemi";11,1
"1352";"Helsinki Kaisaniemi";11,8
"1362";"Helsinki Kaisaniemi";14,3
"1372";"Helsinki Kaisaniemi";14,8
"1382";"Helsinki Kaisaniemi";12,3
"1392";"Helsinki Kaisaniemi";9
"1402";"Helsinki Kaisaniemi";7,5
"1412";"Helsinki Kaisaniemi";9,1
"1422";"Helsinki Kaisaniemi";10,8
"1432";"Helsinki Kaisaniemi";5,9
"1442";"Helsinki Kaisaniemi";5,4
"1452";"Helsinki Kaisaniemi";5,9
"1462";"Helsinki Kaisaniemi";8,9
"1472";"Helsinki Kaisaniemi";10,4
"1482";"Helsinki Kaisaniemi";12,5
"1492";"Helsinki Kaisaniemi";10,4
"1502";"Helsinki Kaisaniemi";10,4
"1512";"Helsinki Kaisaniemi";10,3
"1522";"Helsinki Kaisaniemi";10,2
"1532";"Helsinki Kaisaniemi";10,4
"1542";"Helsinki Kaisaniemi";11,7
"1552";"Helsinki Kaisaniemi";11,8
"1562";"Helsinki Kaisaniemi";12,1
"1572";"Helsinki Kaisaniemi";11,9
"1582";"Helsinki Kaisaniemi";15,3
"1592";"Helsinki Kaisaniemi";13,4
"1602";"Helsinki Kaisaniemi";16,9
"1612";"Helsinki Kaisaniemi";16,9
"1622";"Helsinki Kaisaniemi";17,1
"1632";"Helsinki Kaisaniemi";14,6
"1642";"Helsinki Kaisaniemi";16,5
"1652";"Helsinki Kaisaniemi";19,3
"1662";"Helsinki Kaisaniemi";19,4
"1672";"Helsinki Kaisaniemi";12,3
"1682";"Helsinki Kaisaniemi";12,9
"1692";"Helsinki Kaisaniemi";13,7
"1702";"Helsinki Kaisaniemi";12,1
"1712";"Helsinki Kaisaniemi";12,7
"1722";"Helsinki Kaisaniemi";12,2
"1732";"Helsinki Kaisaniemi";10,4
"1742";"Helsinki Kaisaniemi";12,5
"1752";"Helsinki Kaisaniemi";11,9
"1762";"Helsinki Kaisaniemi";14,8
"1772";"Helsinki Kaisaniemi";16,4
"1782";"Helsinki Kaisaniemi";18,1
"1792";"Helsinki Kaisaniemi";16,5
"1802";"Helsinki Kaisaniemi";15,4
"1812";"Helsinki Kaisaniemi";16
"1822";"Helsinki Kaisaniemi";17
"1832";"Helsinki Kaisaniemi";16,7
"1842";"Helsinki Kaisaniemi";14,7
"1852";"Helsinki Kaisaniemi";15,3
"1862";"Helsinki Kaisaniemi";17,6
"1872";"Helsinki Kaisaniemi";17,5
"1882";"Helsinki Kaisaniemi";17,6
"1892";"Helsinki Kaisaniemi";17,1
"1902";"Helsinki Kaisaniemi";17,3
"1912";"Helsinki Kaisaniemi";17,5
"1922";"Helsinki Kaisaniemi";19,3
"1932";"Helsinki Kaisaniemi";16,8
"1942";"Helsinki Kaisaniemi";16,1
"1952";"Helsinki Kaisaniemi";15,8
"1962";"Helsinki Kaisaniemi";14,6
"1972";"Helsinki Kaisaniemi";15,3
"1982";"Helsinki Kaisaniemi";16,9
"1992";"Helsinki Kaisaniemi";16,9
"2002";"Helsinki Kaisaniemi";14,7
"2012";"Helsinki Kaisaniemi";17,7
"2022";"Helsinki Kaisaniemi";17
"2032";"Helsinki Kaisaniemi";17,8
"2042";"Helsinki Kaisaniemi";16,6
"2052";"Helsinki Kaisaniemi";16,8
"2062";"Helsinki Kaisaniemi";14,7
"2072";"Helsinki Kaisaniemi";14,1
"2082";"Helsinki Kaisaniemi";15,7
"2092";"Helsinki Kaisaniemi";14,8
"2102";"Helsinki Kaisaniemi";15,7
"2112";"Helsinki Kaisaniemi";15,8
"2122";"Helsinki Kaisaniemi";15,8
"2132";"Helsinki Kaisaniemi";16
"2142";"Helsinki Kaisaniemi";16,3
"2152";"Helsinki Kaisaniemi";16
"2162";"Helsinki Kaisaniemi";15,5
"2172";"Helsinki Kaisaniemi";15,1
"2182";"Helsinki Kaisaniemi";14,4
"2192";"Helsinki Kaisaniemi";14,9
"2202";"Helsinki Kaisaniemi";14,8
"2212";"Helsinki Kaisaniemi";13,7
"2222";"Helsinki Kaisaniemi";15,4
"2232";"Helsinki Kaisaniemi";13,8
