"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-9.6"
"12";"Helsinki Kaisaniemi";"-6.2"
"22";"Helsinki Kaisaniemi";"-6.1"
"32";"Helsinki Kaisaniemi";"-7.9"
"42";"Helsinki Kaisaniemi";"-9.1"
"52";"Helsinki Kaisaniemi";"-11.5"
"62";"Helsinki Kaisaniemi";"-7.9"
"72";"Helsinki Kaisaniemi";"-7.5"
"82";"Helsinki Kaisaniemi";"-4.3"
"92";"Helsinki Kaisaniemi";"-3.4"
"102";"Helsinki Kaisaniemi";"-3.2"
"112";"Helsinki Kaisaniemi";"-1.1"
"122";"Helsinki Kaisaniemi";"1.4"
"132";"Helsinki Kaisaniemi";"0.5"
"142";"Helsinki Kaisaniemi";"1.2"
"152";"Helsinki Kaisaniemi";"0.6"
"162";"Helsinki Kaisaniemi";"-3.1"
"172";"Helsinki Kaisaniemi";"-5.3"
"182";"Helsinki Kaisaniemi";"-3.1"
"192";"Helsinki Kaisaniemi";"-3.6"
"202";"Helsinki Kaisaniemi";"-16.3"
"212";"Helsinki Kaisaniemi";"-19.8"
"222";"Helsinki Kaisaniemi";"-16.7"
"232";"Helsinki Kaisaniemi";"-10.0"
"242";"Helsinki Kaisaniemi";"-13.8"
"252";"Helsinki Kaisaniemi";"-8.7"
"262";"Helsinki Kaisaniemi";"-3.8"
"272";"Helsinki Kaisaniemi";"-4.8"
"282";"Helsinki Kaisaniemi";"-5.2"
"292";"Helsinki Kaisaniemi";"-3.3"
"302";"Helsinki Kaisaniemi";"-1.6"
"312";"Helsinki Kaisaniemi";"-0.9"
"322";"Helsinki Kaisaniemi";"-2.2"
"332";"Helsinki Kaisaniemi";"-3.4"
"342";"Helsinki Kaisaniemi";"-4.5"
"352";"Helsinki Kaisaniemi";"-6.0"
"362";"Helsinki Kaisaniemi";"-9.2"
"372";"Helsinki Kaisaniemi";"-11.9"
"382";"Helsinki Kaisaniemi";"-12.5"
"392";"Helsinki Kaisaniemi";"-14.4"
"402";"Helsinki Kaisaniemi";"-12.6"
"412";"Helsinki Kaisaniemi";"-11.1"
"422";"Helsinki Kaisaniemi";"-9.5"
"432";"Helsinki Kaisaniemi";"-8.1"
"442";"Helsinki Kaisaniemi";"-5.3"
"452";"Helsinki Kaisaniemi";"-9.3"
"462";"Helsinki Kaisaniemi";"-8.5"
"472";"Helsinki Kaisaniemi";"-3.2"
"482";"Helsinki Kaisaniemi";"-0.1"
"492";"Helsinki Kaisaniemi";"-5.3"
"502";"Helsinki Kaisaniemi";"-7.4"
"512";"Helsinki Kaisaniemi";"-4.8"
"522";"Helsinki Kaisaniemi";"-6.6"
"532";"Helsinki Kaisaniemi";"-10.9"
"542";"Helsinki Kaisaniemi";"-14.6"
"552";"Helsinki Kaisaniemi";"-14.5"
"562";"Helsinki Kaisaniemi";"-16.5"
"572";"Helsinki Kaisaniemi";"-14.0"
"582";"Helsinki Kaisaniemi";"-7.7"
"592";"Helsinki Kaisaniemi";"-9.5"
"602";"Helsinki Kaisaniemi";"-9.0"
"612";"Helsinki Kaisaniemi";"-9.2"
"622";"Helsinki Kaisaniemi";"-5.2"
"632";"Helsinki Kaisaniemi";"-1.7"
"642";"Helsinki Kaisaniemi";"-1.0"
"652";"Helsinki Kaisaniemi";"-0.8"
"662";"Helsinki Kaisaniemi";"-1.9"
"672";"Helsinki Kaisaniemi";"-2.3"
"682";"Helsinki Kaisaniemi";"-0.7"
"692";"Helsinki Kaisaniemi";"0.3"
"702";"Helsinki Kaisaniemi";"-6.0"
"712";"Helsinki Kaisaniemi";"-8.8"
"722";"Helsinki Kaisaniemi";"-8.1"
"732";"Helsinki Kaisaniemi";"-5.8"
"742";"Helsinki Kaisaniemi";"-2.8"
"752";"Helsinki Kaisaniemi";"-1.9"
"762";"Helsinki Kaisaniemi";"-5.9"
"772";"Helsinki Kaisaniemi";"-8.5"
"782";"Helsinki Kaisaniemi";"-8.7"
"792";"Helsinki Kaisaniemi";"-7.7"
"802";"Helsinki Kaisaniemi";"-8.1"
"812";"Helsinki Kaisaniemi";"-5.4"
"822";"Helsinki Kaisaniemi";"-5.4"
"832";"Helsinki Kaisaniemi";"-8.0"
"842";"Helsinki Kaisaniemi";"-2.6"
"852";"Helsinki Kaisaniemi";"-2.7"
"862";"Helsinki Kaisaniemi";"0.8"
"872";"Helsinki Kaisaniemi";"0.7"
"882";"Helsinki Kaisaniemi";"1.5"
"892";"Helsinki Kaisaniemi";"0.4"
"902";"Helsinki Kaisaniemi";"-1.0"
"912";"Helsinki Kaisaniemi";"-1.3"
"922";"Helsinki Kaisaniemi";"-3.2"
"932";"Helsinki Kaisaniemi";"-1.9"
"942";"Helsinki Kaisaniemi";"1.3"
"952";"Helsinki Kaisaniemi";"-0.5"
"962";"Helsinki Kaisaniemi";"1.0"
"972";"Helsinki Kaisaniemi";"0.4"
"982";"Helsinki Kaisaniemi";"1.2"
"992";"Helsinki Kaisaniemi";"0.3"
"1002";"Helsinki Kaisaniemi";"-3.1"
"1012";"Helsinki Kaisaniemi";"0.1"
"1022";"Helsinki Kaisaniemi";"0.3"
"1032";"Helsinki Kaisaniemi";"-0.2"
"1042";"Helsinki Kaisaniemi";"1.8"
"1052";"Helsinki Kaisaniemi";"3.0"
"1062";"Helsinki Kaisaniemi";"1.7"
"1072";"Helsinki Kaisaniemi";"3.7"
"1082";"Helsinki Kaisaniemi";"2.2"
"1092";"Helsinki Kaisaniemi";"1.4"
"1102";"Helsinki Kaisaniemi";"1.6"
"1112";"Helsinki Kaisaniemi";"1.2"
"1122";"Helsinki Kaisaniemi";"0.7"
"1132";"Helsinki Kaisaniemi";"-3.2"
"1142";"Helsinki Kaisaniemi";"-0.3"
"1152";"Helsinki Kaisaniemi";"-1.3"
"1162";"Helsinki Kaisaniemi";"0.3"
"1172";"Helsinki Kaisaniemi";"-0.5"
"1182";"Helsinki Kaisaniemi";"-0.3"
"1192";"Helsinki Kaisaniemi";"0.8"
"1202";"Helsinki Kaisaniemi";"2.1"
"1212";"Helsinki Kaisaniemi";"4.3"
"1222";"Helsinki Kaisaniemi";"6.8"
"1232";"Helsinki Kaisaniemi";"4.5"
"1242";"Helsinki Kaisaniemi";"6.3"
"1252";"Helsinki Kaisaniemi";"4.4"
"1262";"Helsinki Kaisaniemi";"3.1"
"1272";"Helsinki Kaisaniemi";"2.2"
"1282";"Helsinki Kaisaniemi";"6.6"
"1292";"Helsinki Kaisaniemi";"6.8"
"1302";"Helsinki Kaisaniemi";"8.3"
"1312";"Helsinki Kaisaniemi";"8.3"
"1322";"Helsinki Kaisaniemi";"11.2"
"1332";"Helsinki Kaisaniemi";"11.6"
"1342";"Helsinki Kaisaniemi";"8.5"
"1352";"Helsinki Kaisaniemi";"9.3"
"1362";"Helsinki Kaisaniemi";"13.8"
"1372";"Helsinki Kaisaniemi";"5.4"
"1382";"Helsinki Kaisaniemi";"9.2"
"1392";"Helsinki Kaisaniemi";"7.2"
"1402";"Helsinki Kaisaniemi";"7.5"
"1412";"Helsinki Kaisaniemi";"7.8"
"1422";"Helsinki Kaisaniemi";"8.3"
"1432";"Helsinki Kaisaniemi";"8.3"
"1442";"Helsinki Kaisaniemi";"11.2"
"1452";"Helsinki Kaisaniemi";"8.2"
"1462";"Helsinki Kaisaniemi";"10.5"
"1472";"Helsinki Kaisaniemi";"9.7"
"1482";"Helsinki Kaisaniemi";"9.8"
"1492";"Helsinki Kaisaniemi";"13.9"
"1502";"Helsinki Kaisaniemi";"12.5"
"1512";"Helsinki Kaisaniemi";"14.1"
"1522";"Helsinki Kaisaniemi";"12.6"
"1532";"Helsinki Kaisaniemi";"11.6"
"1542";"Helsinki Kaisaniemi";"10.2"
"1552";"Helsinki Kaisaniemi";"8.8"
"1562";"Helsinki Kaisaniemi";"9.7"
"1572";"Helsinki Kaisaniemi";"11.0"
"1582";"Helsinki Kaisaniemi";"11.6"
"1592";"Helsinki Kaisaniemi";"11.1"
"1602";"Helsinki Kaisaniemi";"14.1"
"1612";"Helsinki Kaisaniemi";"11.9"
"1622";"Helsinki Kaisaniemi";"11.0"
"1632";"Helsinki Kaisaniemi";"12.2"
"1642";"Helsinki Kaisaniemi";"13.9"
"1652";"Helsinki Kaisaniemi";"12.8"
"1662";"Helsinki Kaisaniemi";"9.4"
"1672";"Helsinki Kaisaniemi";"10.8"
"1682";"Helsinki Kaisaniemi";"14.3"
"1692";"Helsinki Kaisaniemi";"17.8"
"1702";"Helsinki Kaisaniemi";"18.4"
"1712";"Helsinki Kaisaniemi";"19.0"
"1722";"Helsinki Kaisaniemi";"14.7"
"1732";"Helsinki Kaisaniemi";"15.9"
"1742";"Helsinki Kaisaniemi";"16.3"
"1752";"Helsinki Kaisaniemi";"13.3"
"1762";"Helsinki Kaisaniemi";"11.4"
"1772";"Helsinki Kaisaniemi";"13.7"
"1782";"Helsinki Kaisaniemi";"14.8"
"1792";"Helsinki Kaisaniemi";"13.2"
"1802";"Helsinki Kaisaniemi";"12.1"
"1812";"Helsinki Kaisaniemi";"12.7"
"1822";"Helsinki Kaisaniemi";"12.4"
"1832";"Helsinki Kaisaniemi";"12.3"
"1842";"Helsinki Kaisaniemi";"15.5"
"1852";"Helsinki Kaisaniemi";"13.8"
"1862";"Helsinki Kaisaniemi";"13.5"
"1872";"Helsinki Kaisaniemi";"12.1"
"1882";"Helsinki Kaisaniemi";"14.3"
"1892";"Helsinki Kaisaniemi";"14.0"
"1902";"Helsinki Kaisaniemi";"13.7"
"1912";"Helsinki Kaisaniemi";"17.8"
"1922";"Helsinki Kaisaniemi";"17.3"
"1932";"Helsinki Kaisaniemi";"17.8"
"1942";"Helsinki Kaisaniemi";"17.3"
"1952";"Helsinki Kaisaniemi";"18.8"
"1962";"Helsinki Kaisaniemi";"14.8"
"1972";"Helsinki Kaisaniemi";"19.1"
"1982";"Helsinki Kaisaniemi";"20.9"
"1992";"Helsinki Kaisaniemi";"21.4"
"2002";"Helsinki Kaisaniemi";"18.3"
"2012";"Helsinki Kaisaniemi";"19.3"
"2022";"Helsinki Kaisaniemi";"19.6"
"2032";"Helsinki Kaisaniemi";"18.9"
"2042";"Helsinki Kaisaniemi";"21.6"
"2052";"Helsinki Kaisaniemi";"19.7"
"2062";"Helsinki Kaisaniemi";"20.1"
"2072";"Helsinki Kaisaniemi";"20.5"
"2082";"Helsinki Kaisaniemi";"21.5"
"2092";"Helsinki Kaisaniemi";"15.6"
"2102";"Helsinki Kaisaniemi";"18.2"
"2112";"Helsinki Kaisaniemi";"20.9"
"2122";"Helsinki Kaisaniemi";"20.7"
"2132";"Helsinki Kaisaniemi";"20.1"
"2142";"Helsinki Kaisaniemi";"20.4"
"2152";"Helsinki Kaisaniemi";"20.9"
"2162";"Helsinki Kaisaniemi";"21.4"
"2172";"Helsinki Kaisaniemi";"20.6"
"2182";"Helsinki Kaisaniemi";"16.6"
"2192";"Helsinki Kaisaniemi";"17.7"
"2202";"Helsinki Kaisaniemi";"16.4"
"2212";"Helsinki Kaisaniemi";"16.8"
"2222";"Helsinki Kaisaniemi";"16.3"
"2232";"Helsinki Kaisaniemi";"17.2"
"2242";"Helsinki Kaisaniemi";"18.3"
"2252";"Helsinki Kaisaniemi";"18.3"
"2262";"Helsinki Kaisaniemi";"20.3"
"2272";"Helsinki Kaisaniemi";"21.0"
"2282";"Helsinki Kaisaniemi";"21.1"
"2292";"Helsinki Kaisaniemi";"18.9"
"2302";"Helsinki Kaisaniemi";"21.1"
"2312";"Helsinki Kaisaniemi";"19.1"
"2322";"Helsinki Kaisaniemi";"16.7"
"2332";"Helsinki Kaisaniemi";"15.8"
"2342";"Helsinki Kaisaniemi";"14.3"
"2352";"Helsinki Kaisaniemi";"16.2"
"2362";"Helsinki Kaisaniemi";"13.5"
"2372";"Helsinki Kaisaniemi";"10.5"
"2382";"Helsinki Kaisaniemi";"12.1"
"2392";"Helsinki Kaisaniemi";"12.5"
"2402";"Helsinki Kaisaniemi";"12.1"
"2412";"Helsinki Kaisaniemi";"12.8"
"2422";"Helsinki Kaisaniemi";"14.2"
"2432";"Helsinki Kaisaniemi";"14.8"
"2442";"Helsinki Kaisaniemi";"13.8"
"2452";"Helsinki Kaisaniemi";"13.6"
"2462";"Helsinki Kaisaniemi";"15.8"
"2472";"Helsinki Kaisaniemi";"16.2"
"2482";"Helsinki Kaisaniemi";"17.3"
"2492";"Helsinki Kaisaniemi";"15.4"
"2502";"Helsinki Kaisaniemi";"14.1"
"2512";"Helsinki Kaisaniemi";"14.5"
