"vuosi","nimi","kuvan_url","tietoja_sivu"
"1948","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1949","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1950","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1951","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1952","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1953","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1954","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1955","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1956","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1957","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1958","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1959","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1960","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1961","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1962","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1963","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1964","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1965","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1966","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1967","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1968","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1969","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1970","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1971","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1972","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1973","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1974","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1975","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1976","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1977","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1978","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1979","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1980","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1981","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1982","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1983","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1984","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1985","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1986","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1987","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1988","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1989","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1990","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1991","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1992","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1993","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1994","Martti Ahtisaari","http://www.blf.fi/artiklar/foton/634.jpg","https://fi.wikipedia.org/wiki/Martti_Ahtisaari"
"1995","Martti Ahtisaari","http://www.blf.fi/artiklar/foton/634.jpg","https://fi.wikipedia.org/wiki/Martti_Ahtisaari"
"1996","Martti Ahtisaari","http://www.blf.fi/artiklar/foton/634.jpg","https://fi.wikipedia.org/wiki/Martti_Ahtisaari"
"1997","Martti Ahtisaari","http://www.blf.fi/artiklar/foton/634.jpg","https://fi.wikipedia.org/wiki/Martti_Ahtisaari"
"1998","Martti Ahtisaari","http://www.blf.fi/artiklar/foton/634.jpg","https://fi.wikipedia.org/wiki/Martti_Ahtisaari"
"1999","Martti Ahtisaari","http://www.blf.fi/artiklar/foton/634.jpg","https://fi.wikipedia.org/wiki/Martti_Ahtisaari"
"2000","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2001","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2002","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2003","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2004","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2005","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2006","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2007","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2008","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2009","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2010","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2011","Tarja Halonen","https://upload.wikimedia.org/wikipedia/commons/b/bc/Tarja_Halonen_1c389_8827-2.jpg","https://fi.wikipedia.org/wiki/Tarja_Halonen"
"2012","Sauli Niinistö","https://upload.wikimedia.org/wikipedia/commons/a/a8/Sauli_Niinist%C3%B6_%28cropped%29.jpg","https://fi.wikipedia.org/wiki/Sauli_Niinist%C3%B6"
"2013","Sauli Niinistö","https://upload.wikimedia.org/wikipedia/commons/a/a8/Sauli_Niinist%C3%B6_%28cropped%29.jpg","https://fi.wikipedia.org/wiki/Sauli_Niinist%C3%B6"
"2014","Sauli Niinistö","https://upload.wikimedia.org/wikipedia/commons/a/a8/Sauli_Niinist%C3%B6_%28cropped%29.jpg","https://fi.wikipedia.org/wiki/Sauli_Niinist%C3%B6"
"2015","Sauli Niinistö","https://upload.wikimedia.org/wikipedia/commons/a/a8/Sauli_Niinist%C3%B6_%28cropped%29.jpg","https://fi.wikipedia.org/wiki/Sauli_Niinist%C3%B6"
"2016","Sauli Niinistö","https://upload.wikimedia.org/wikipedia/commons/a/a8/Sauli_Niinist%C3%B6_%28cropped%29.jpg","https://fi.wikipedia.org/wiki/Sauli_Niinist%C3%B6"
