AID,SERVICE,MID
7-1055964,arkivet,26-102054
7-1055964,arkivet,26-91688
7-1055964,arkivet,26-95599
7-1055964,arkivet,26-66873
7-1055964,arkivet,26-94187
7-1055964,arkivet,26-111079
7-1055964,arkivet,26-61062
7-1055964,arkivet,26-105528
7-1055964,arkivet,26-59504
7-1055964,arkivet,26-104464
7-1055964,arkivet,26-4086
7-1055964,arkivet,26-76539
7-1055964,arkivet,26-64304
7-1055964,arkivet,26-64831
7-1055964,arkivet,26-67954
7-1055964,arkivet,26-63007
7-1055964,arkivet,26-78398
7-1055964,arkivet,26-68589
7-1055964,arkivet,26-57732
7-1055964,arkivet,26-77508
7-1055964,arkivet,26-110535
7-1055964,arkivet,26-67351
7-1055964,arkivet,26-63248
7-1055964,arkivet,26-65682
7-1055964,arkivet,26-57974
7-1055964,arkivet,26-63236
7-1055964,arkivet,26-92207
7-1055964,arkivet,26-110346
7-1055964,arkivet,26-111372
7-1055964,arkivet,26-111371
7-1055964,arkivet,26-60089
7-1055964,arkivet,26-60068
7-1055964,arkivet,26-110314
7-1055964,arkivet,26-108103
7-1055964,arkivet,26-100522
7-1055964,arkivet,26-59341
7-1055964,arkivet,26-69891
7-1055964,arkivet,26-69896
7-1055964,arkivet,26-60009
7-1055964,arkivet,26-60021
7-1055964,arkivet,26-64446
7-1055964,arkivet,26-69653
7-1055964,arkivet,26-91466
7-1055964,arkivet,26-58405
7-1055964,arkivet,26-78506
7-1050925,arkivet,26-111248
7-1046821,arkivet,26-111183
7-1039438,arkivet,26-111080
7-1042483,arkivet,26-69216
7-1042483,arkivet,26-69217
7-1039300,arkivet,26-111079
7-1038791,arkivet,26-111077
7-1038791,arkivet,26-111163
7-1038791,arkivet,26-111074
7-1038791,arkivet,26-111081
7-1036166,arkivet,26-111034
7-1036166,arkivet,26-111047
7-1036166,arkivet,26-111048
7-1024362,arkivet,26-110868
7-1024362,arkivet,26-110869
7-1024362,arkivet,26-98853
7-1033806,arkivet,26-110995
7-1033806,arkivet,26-111017
7-1033806,arkivet,26-111016
7-1033806,arkivet,26-111026
7-1033806,arkivet,26-110994
7-1033806,arkivet,26-111025
7-1033806,arkivet,26-111014
7-1033806,arkivet,26-111015
7-1033806,arkivet,26-110988
7-1033806,arkivet,26-111013
7-1033806,arkivet,26-110989
7-1033780,arkivet,26-111003
7-1033780,arkivet,26-63819
7-1033780,arkivet,26-111012
7-1033780,arkivet,26-111006
7-1025258,arkivet,26-57336
7-1031863,arkivet,26-110985
7-1027336,arkivet,26-110884
7-1027336,arkivet,26-110892
7-1027336,arkivet,26-110883
7-1027336,arkivet,26-110882
7-1027336,arkivet,26-110911
7-1027336,arkivet,26-110912
7-1008974,arkivet,26-110535
7-1008974,arkivet,26-110534
7-1008974,arkivet,26-110531
7-1008974,arkivet,26-110593
7-1023204,arkivet,26-109170
7-1019713,arkivet,26-102972
7-1019713,arkivet,26-109913
7-1019713,arkivet,26-63236
7-1019713,arkivet,26-64672
7-1019713,arkivet,26-92207
7-1019713,arkivet,26-91273
